intersection_key,Latitude,Longitude,rank_SW,rank_SA,rank_delta_SA_minus_SW
LUBBOCK|LUBBOCK|33.4971|-101.9397||FRANKFORD AVENUE,33.4971,-101.9397,4152.0,5223.0,1071.0
LUBBOCK|LUBBOCK|33.4973|-101.9330||COLTON AVENUE,33.4973,-101.933,4152.0,4598.0,446.0
LUBBOCK|LUBBOCK|33.4976|-101.9362||106TH STREET,33.4976,-101.9362,4152.0,3968.0,-184.0
LUBBOCK|LUBBOCK|33.4989|-101.8877|105TH STREET|INDIANA AVENUE,33.4989,-101.8877,669.0,276.0,-393.0
LUBBOCK|LUBBOCK|33.4990|-101.8795|105TH STREET|ELGIN AVENUE,33.499,-101.8795,4152.0,4385.0,233.0
LUBBOCK|LUBBOCK|33.5002|-101.9050|103RD STREET|QUAKER AVENUE,33.5002,-101.905,4152.0,4526.0,374.0
LUBBOCK|LUBBOCK|33.5004|-101.9223||SLIDE ROAD,33.5004,-101.9223,4152.0,2807.0,-1345.0
LUBBOCK|LUBBOCK|33.5006|-101.9223|103RD STREET|SLIDE ROAD,33.5006,-101.9223,4152.0,1366.0,-2786.0
LUBBOCK|LUBBOCK|33.5006|-101.9397|102ND STREET|FRANKFORD AVENUE,33.5006,-101.9397,2031.5,462.0,-1569.5
LUBBOCK|LUBBOCK|33.5008|-101.9223||SLIDE ROAD,33.5008,-101.9223,4152.0,2915.0,-1237.0
LUBBOCK|LUBBOCK|33.5009|-101.8877||INDIANA AVENUE,33.5009,-101.8877,4152.0,1749.0,-2403.0
LUBBOCK|LUBBOCK|33.5011|-101.9223||SLIDE ROAD,33.5011,-101.9223,4152.0,1510.0,-2642.0
LUBBOCK|LUBBOCK|33.5015|-101.9722||102ND STREET,33.5015,-101.9722,1312.0,2716.0,1404.0
LUBBOCK|LUBBOCK|33.5016|-101.9852||102ND STREET,33.5016,-101.9852,4152.0,1769.0,-2383.0
LUBBOCK|LUBBOCK|33.5017|-101.9050||QUAKER AVENUE,33.5017,-101.905,4152.0,3141.0,-1011.0
LUBBOCK|LUBBOCK|33.5018|-101.8963|102ND STREET|MEMPHIS AVENUE,33.5018,-101.8963,4152.0,4817.0,665.0
LUBBOCK|LUBBOCK|33.5019|-101.8703||UNIVERSITY AVENUE,33.5019,-101.8703,4152.0,4063.0,-89.0
LUBBOCK|LUBBOCK|33.5020|-101.9050||QUAKER AVENUE,33.502,-101.905,4152.0,1601.0,-2551.0
LUBBOCK|LUBBOCK|33.5021|-101.9223||SLIDE ROAD,33.5021,-101.9223,4152.0,3150.0,-1002.0
LUBBOCK|LUBBOCK|33.5025|-101.8530||AVENUE P,33.5025,-101.853,1312.0,1658.0,346.0
LUBBOCK|LUBBOCK|33.5027|-101.8876|101ST STREET|INDIANA AVENUE,33.5027,-101.8876,4152.0,2059.0,-2093.0
LUBBOCK|LUBBOCK|33.5028|-101.8703||UNIVERSITY AVENUE,33.5028,-101.8703,4152.0,5396.0,1244.0
LUBBOCK|LUBBOCK|33.5033|-101.8657|W AVENUE|W AVENUE,33.5033,-101.8657,4152.0,5206.0,1054.0
LUBBOCK|LUBBOCK|33.5038|-101.9571||MILWAUKEE AVENUE,33.5038,-101.9571,1312.0,3036.0,1724.0
LUBBOCK|LUBBOCK|33.5041|-101.8676|99TH STREET|WEATHERFORD AVENUE,33.5041,-101.8676,4152.0,4127.0,-25.0
LUBBOCK|LUBBOCK|33.5042|-101.8447|NOT REPORTED|US0087,33.5042,-101.8447,4152.0,5793.0,1641.0
LUBBOCK|LUBBOCK|33.5044|-101.8447||US0087,33.5044,-101.8447,669.0,524.0,-145.0
LUBBOCK|LUBBOCK|33.5045|-101.9035||98TH STREET,33.5045,-101.9035,4152.0,2243.0,-1909.0
LUBBOCK|LUBBOCK|33.5045|-101.9038||98TH STREET,33.5045,-101.9038,2031.5,399.0,-1632.5
LUBBOCK|LUBBOCK|33.5045|-101.9041|98TH STREET|QUAKER AVENUE,33.5045,-101.9041,390.5,69.0,-321.5
LUBBOCK|LUBBOCK|33.5047|-101.9917||ALCOVE AVENUE,33.5047,-101.9917,4152.0,1790.0,-2362.0
LUBBOCK|LUBBOCK|33.5049|-101.9009||98TH STREET,33.5049,-101.9009,4152.0,4400.0,248.0
LUBBOCK|LUBBOCK|33.5050|-101.8876||INDIANA AVENUE,33.505,-101.8876,4152.0,4262.0,110.0
LUBBOCK|LUBBOCK|33.5050|-101.9223||FM 1730,33.505,-101.9223,4152.0,2311.0,-1841.0
LUBBOCK|LUBBOCK|33.5051|-101.8876||INDIANA AVENUE,33.5051,-101.8876,4152.0,1410.0,-2742.0
LUBBOCK|LUBBOCK|33.5051|-101.9091||98TH STREET,33.5051,-101.9091,4152.0,3868.0,-284.0
LUBBOCK|LUBBOCK|33.5051|-101.9223||SLIDE ROAD,33.5051,-101.9223,2031.5,466.0,-1565.5
LUBBOCK|LUBBOCK|33.5052|-101.8447|98TH STREET|US0087,33.5052,-101.8447,2031.5,507.0,-1524.5
LUBBOCK|LUBBOCK|33.5052|-101.8703||UNIVERSITY AVENUE,33.5052,-101.8703,4152.0,3379.0,-773.0
LUBBOCK|LUBBOCK|33.5052|-101.8868||98TH STREET,33.5052,-101.8868,4152.0,4042.0,-110.0
LUBBOCK|LUBBOCK|33.5052|-101.8911||98TH STREET,33.5052,-101.8911,1312.0,3134.0,1822.0
LUBBOCK|LUBBOCK|33.5052|-101.8963|98TH STREET|MEMPHIS AVENUE,33.5052,-101.8963,4152.0,4605.0,453.0
LUBBOCK|LUBBOCK|33.5052|-101.8998||98TH STREET,33.5052,-101.8998,4152.0,4290.0,138.0
LUBBOCK|LUBBOCK|33.5052|-101.9098|98TH STREET|SALISBURY AVENUE,33.5052,-101.9098,669.0,303.0,-366.0
LUBBOCK|LUBBOCK|33.5052|-101.9172|98TH STREET|VICKSBURG AVENUE,33.5052,-101.9172,1312.0,168.0,-1144.0
LUBBOCK|LUBBOCK|33.5052|-101.9173||98TH STREET,33.5052,-101.9173,4152.0,4620.0,468.0
LUBBOCK|LUBBOCK|33.5052|-101.9218||98TH STREET,33.5052,-101.9218,1312.0,4328.0,3016.0
LUBBOCK|LUBBOCK|33.5052|-101.9223|98TH STREET|FM 1730,33.5052,-101.9223,4152.0,4490.0,338.0
LUBBOCK|LUBBOCK|33.5052|-101.9223|98TH STREET|SLIDE ROAD,33.5052,-101.9223,32.0,13.0,-19.0
LUBBOCK|LUBBOCK|33.5052|-101.9230||98TH STREET,33.5052,-101.923,4152.0,3170.0,-982.0
LUBBOCK|LUBBOCK|33.5052|-101.9231||98TH STREET,33.5052,-101.9231,4152.0,3335.0,-817.0
LUBBOCK|LUBBOCK|33.5052|-101.9233||98TH STREET,33.5052,-101.9233,4152.0,4167.0,15.0
